"date_of_interview","n","idt","id"
"02.09.2016",43,"A","1"
"02.12.2015",19,"B","2"
"03.04.2015",30,"C","3"
"03/06/16",2,"D","4"
"04/12/16",86,"E","5"
"05/02/15",7,"F","6"
"05/11/2016",25,"G","7"
"06.02.2016",220,"H","8"
"06.05.2016",3,"I","9"
"07.05.2016",31,"J","10"
"07.06.2016",12,"K","11"
"09-01-2016",15,"L","12"
"09.01.2016",6,"M","13"
"10.05.2016",7,"N","14"
"10.5.16",2,"O","15"
"11.05.16",5,"P","16"
"11.5.16",14,"Q","17"
"12.04.2016",1,"R","18"
"12.04.2017",1,"S","19"
"12.04.2018",1,"T","20"
"12.04.2019",1,"U","21"
"12.04.2020",1,"V","22"
"12.04.2021",1,"W","23"
"12.04.2022",1,"X","24"
"12.04.2023",1,"Y","25"
"13.02.2015",10,"Z","26"
"13.04.2016",84,NA,"27"
"13.06.2016",15,NA,"28"
"13/03/2015",13,NA,"29"
"14.01.2016",28,NA,"30"
"15 apr 16",6,NA,"31"
"16.04.2015",4,NA,"32"
"17.03.2015",9,NA,"33"
"17.04.2015",9,NA,"34"
"17/03/2015",7,NA,"35"
"18 apr 16",2,NA,"36"
"18.03.2014",4,NA,"37"
"19 apr 16",2,NA,"38"
"19.03.16",17,NA,"39"
"19.06.2015",18,NA,"40"
"20 apr 16",2,NA,"41"
"20.08.2016",25,NA,"42"
"21-apr -16",7,NA,"43"
"21.4.15",4,NA,"44"
"21.4.16",38,NA,"45"
"21.4.2016",14,NA,"46"
"21/04/16",2,NA,"47"
"22 -apr -16",1,NA,"48"
"22.01.2016",34,NA,"49"
"22.03.2016",13,NA,"50"
"22.4.16",7,NA,"51"
"23.02.2016",22,NA,"52"
"23.06.2015",8,NA,"53"
"23.4.16",5,NA,"54"
"24.05.2016",2,NA,"55"
"25-05-2016",3,NA,"56"
"25-5-2016",14,NA,"57"
"25 – apr-16",2,NA,"58"
"25 apr 16",3,NA,"59"
"25.05.16",12,NA,"60"
"25.05.2016",12,NA,"61"
"25.06.2015",43,NA,"62"
"25.5.2016",24,NA,"63"
"26.02.2016",26,NA,"64"
"26/05/2016",3,NA,"65"
"27.02.2016",26,NA,"66"
"28.08.2016 & 09.00 am",1,NA,"67"
"28.08.2016 & 09.30 am",2,NA,"68"
"28.08.2016 & 10.00 am",1,NA,"69"
"28.08.2016 & 10.30 am",2,NA,"70"
"28.08.2016 & 11.00 am",1,NA,"71"
"28.08.2016 & 11.30 am",2,NA,"72"
"28.08.2016 & 9.30 am",2,NA,"73"
"28.8.2016 & 02.00 pm",1,NA,"74"
"28.8.2016 & 03.00 pm",1,NA,"75"
"28.8.2016 & 04.00 pm",1,NA,"76"
"28.8.2016 & 09.30 am",1,NA,"77"
"28.8.2016 & 10.30 am",3,NA,"78"
"28.8.2016 & 11.00 am",1,NA,"79"
"28.8.2016 & 12.00 pm",1,NA,"80"
"29.06.2015",11,NA,"81"
"3.6.16",12,NA,"82"
"30-1-2016",1,NA,"83"
"30.01.16",3,NA,"84"
"30.01.2016",16,NA,"85"
"30.05.2016",8,NA,"86"
"30.1.16",15,NA,"87"
"30.1.2016",1,NA,"88"
"30/01/16",3,NA,"89"
"4.04.15",11,NA,"90"
"4.5.16",1,NA,"91"
"5.5.16",5,NA,"92"
"7.5.16",3,NA,"93"
"8.5.16",3,NA,"94"
"9.04.2015",5,NA,"95"
